  Timestamp,Temperature,Humidity
20250207093146,21.1,60.8
20250207093148,21.1,60.7
20250207093150,21.1,60.6
20250207093152,21.1,60.6
20250207093154,21.2,60.5
20250207093156,21.2,60.3
20250207093158,21.2,60.2
20250207093200,21.2,60.2
20250207093202,21.2,60.1
20250207093204,21.3,60.1
20250207093206,21.7,67.1
20250207093208,21.7,69.8
20250207093210,21.7,71.0
20250207093222,21.7,71.2
20250207093316,22.1,72.6
20250207093317,22.1,71.5
20250207093318,22.1,70.7
20250207093319,22.0,69.8
20250207093320,22.0,69.1
20250207093321,22.0,68.3
20250207093322,22.0,67.7
20250207093324,22.0,66.8
20250207093326,21.9,66.2
20250207093328,21.9,65.6
20250207093330,21.9,65.1
20250207093332,21.9,64.5
20250207093344,21.9,64.0
20250207093345,21.8,63.7
20250207093346,21.8,63.3
20250207093347,21.8,63.0
20250207093348,21.8,62.7
20250207093349,21.7,62.4
20250207093350,21.7,62.2
20250207093351,21.7,62.0
20250207093352,21.7,61.8
20250207093353,21.7,61.6
20250207093354,21.7,61.5
20250207093356,21.6,61.3
20250207093358,21.6,61.2
20250207093410,21.6,61.2
20250207093411,21.6,61.0
20250207093412,21.6,61.0
20250207093413,21.5,60.9
20250207093414,21.5,60.7
20250207093415,21.5,60.8
20250207093416,21.5,60.6
20250207093417,21.5,60.7
20250207093418,21.5,60.6
20250207093419,21.4,60.7
20250207093420,21.4,60.6
20250207093423,21.4,60.6
20250207093435,21.4,60.5
20250207093436,21.4,60.6
20250207093437,21.4,60.6
20250207093438,21.4,60.6
20250207093439,21.4,60.5
20250207093440,21.3,60.5
20250207093441,21.3,60.5
20250207093442,21.3,60.5
20250207093443,21.3,60.7
20250207093444,21.3,60.5
20250207093445,21.3,60.5
20250207093447,21.2,60.5
20250207093449,21.2,60.5
20250207093451,21.2,60.5
20250207093453,21.2,60.5
20250207093455,21.2,60.6
20250207093457,21.2,60.5
20250207093459,21.2,60.5
20250207093501,21.2,60.5
20250207093513,21.2,60.6
20250207093514,21.1,60.6
20250207093515,21.1,60.6
20250207093516,21.1,60.6
20250207093517,21.1,60.6
20250207093518,21.1,60.6
20250207093519,21.1,60.6
20250207093520,21.1,60.7
20250207093521,21.1,60.7
20250207093522,21.1,60.8
20250207093523,21.0,60.7
20250207093525,21.0,60.8
20250207093527,21.0,60.8
20250207093529,21.0,60.8
20250207093541,21.0,60.8
20250207093542,21.0,60.9
20250207093543,21.0,60.8
20250207093544,21.0,60.9
20250207093545,21.0,60.9
20250207093546,20.9,60.9
20250207093547,21.0,60.9
20250207093548,20.9,60.9
20250207093549,20.9,61.0
20250207093550,20.9,60.9
20250207093551,20.9,61.0
20250207093553,20.9,61.0
20250207093555,20.9,61.0
20250207093557,20.9,61.0
20250207093559,20.9,61.1
20250207093601,20.9,61.1
20250207093603,20.9,61.1
20250207093615,20.9,61.1
20250207093616,20.9,61.2
20250207093617,20.8,61.2
20250207093618,20.8,61.1
20250207093619,20.8,61.2
20250207093620,20.8,61.2
20250207093621,20.8,61.2
20250207093622,20.8,61.3
20250207093623,20.8,61.2
20250207093624,20.8,61.2
20250207093625,20.8,61.3
20250207093627,20.8,61.2
20250207093629,20.8,61.3
20250207093631,20.8,61.2
20250207093633,20.8,61.4
20250207093635,20.8,61.3
20250207093637,20.7,61.3
20250207093639,20.7,61.4
20250207093641,20.7,61.4
20250207093653,20.7,61.4
20250207093654,20.7,61.4
20250207093655,20.7,61.5
20250207093656,20.7,61.5
20250207093657,20.7,61.5
20250207093658,20.7,61.4
20250207093659,20.7,61.5
20250207093700,20.7,61.5
20250207093701,20.7,61.5
20250207093702,20.7,61.6
20250207093703,20.7,61.6
20250207093705,20.7,61.6
20250207093707,20.7,61.7
20250207093709,20.6,61.6
20250207093711,20.6,61.6
20250207093723,20.7,61.7
20250207093724,20.7,61.6
20250207093725,20.7,61.7
20250207093726,20.6,61.7
20250207093727,20.6,61.7
20250207093728,20.6,61.7
20250207093729,20.6,61.6
20250207093730,20.6,61.7
20250207093731,20.6,61.7
